person_age,person_income,person_home_ownership,RENT,OWN,MORTGAGE,OTHER,Experience,loan_intent,PERSONAL,EDUCATION,MEDICAL,VENTURE,HOMEIMPROVEMENT,DEBTCONSOLIDATION,loan_grade,loan_grade A,,Grade b,grade c,grade d,grade e,grade f,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,59000,RENT,1,0,0,0,3,PERSONAL,1,0,0,0,0,0,D,0,0,0,1,0,0,0,35000,16.02,1,0.59,1,3
21,9600,OWN,0,1,0,0,5,EDUCATION,0,1,0,0,0,0,B,0,1,0,0,0,0,0,1000,11.14,0,0.1,0,2
25,9600,MORTGAGE,0,0,1,0,1,MEDICAL,0,0,1,0,0,0,C,0,0,1,0,0,0,0,5500,12.87,1,0.57,0,3
23,65500,RENT,1,0,0,0,4,MEDICAL,0,0,1,0,0,0,C,0,0,1,0,0,0,0,35000,15.23,1,0.53,0,2
24,54400,RENT,1,0,0,0,8,MEDICAL,0,0,1,0,0,0,C,0,0,1,0,0,0,0,35000,14.27,1,0.55,1,4
21,9900,OWN,0,1,0,0,2,VENTURE,0,0,0,1,0,0,A,1,0,0,0,0,0,0,2500,7.14,1,0.25,0,2
26,77100,RENT,1,0,0,0,8,EDUCATION,0,1,0,0,0,0,B,0,1,0,0,0,0,0,35000,12.42,1,0.45,0,3
24,78956,RENT,1,0,0,0,5,MEDICAL,0,0,1,0,0,0,B,0,1,0,0,0,0,0,35000,11.11,1,0.44,0,4
24,83000,RENT,1,0,0,0,8,PERSONAL,1,0,0,0,0,0,A,1,0,0,0,0,0,0,35000,8.9,1,0.42,0,2
21,10000,OWN,0,1,0,0,6,VENTURE,0,0,0,1,0,0,D,0,0,0,1,0,0,0,1600,14.74,1,0.16,0,3
22,85000,RENT,1,0,0,0,6,VENTURE,0,0,0,1,0,0,B,0,1,0,0,0,0,0,35000,10.37,1,0.41,0,4
21,10000,OWN,0,1,0,0,2,HOMEIMPROVEMENT,0,0,0,0,1,0,A,1,0,0,0,0,0,0,4500,8.63,1,0.45,0,2
